organism;checkin;atb;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter aerogenes;83200;TOB_10;18;18;19;19;";AG wild-type"
Enterobacter aerogenes;83200;TZP_36;14;12;12;11;";BSBL or other beta-lactamase"
Staphylococcus aureus;86347;AK_30;;;;;";AG wild-type"
Staphylococcus aureus;86347;AMC_30;;;;;";PBP2a"
Staphylococcus aureus;86347;AMP_10;;;;;";PBP2a"
Staphylococcus aureus;86347;CIP_5;17;21;24;25;";QL wild-type"
Staphylococcus aureus;86347;CN_10;19;20;21;22;";AG wild-type"
Staphylococcus aureus;86347;CPD_10;;;;;";PBP2a"
Staphylococcus aureus;86347;CRO_30;;;;;";PBP2a"
Staphylococcus aureus;86347;CXM_30;;;;;";PBP2a"
Staphylococcus aureus;86347;DA_2;24;25;29;28;
Staphylococcus aureus;86347;E_15;6;6;6;6;
Staphylococcus aureus;86347;FD_10;22;27;31;30;";FA wild-type"
Staphylococcus aureus;86347;FEP_30;;;;;";PBP2a"
Staphylococcus aureus;86347;FOX_30;12;13;12;11;";PBP2a"
Staphylococcus aureus;86347;K_30;19;20;22;22;";AG wild-type"
Staphylococcus aureus;86347;LEV_5;20;22;23;25;";QL wild-type"
Staphylococcus aureus;86347;LZD_10;22;27;28;27;";OXD wild-type"
Staphylococcus aureus;86347;MEM_10;;;;;";PBP2a"
Staphylococcus aureus;86347;MH_30;20;23;25;25;";TET efflux (Gram+)"
Staphylococcus aureus;86347;NA_30;;;;;";QL wild-type"
Staphylococcus aureus;86347;NOR_10;15;20;23;24;";QL wild-type"
Staphylococcus aureus;86347;P_1;6;6;6;6;";PBP2a"
Staphylococcus aureus;86347;RD_5;24;28;30;31;";RIF wild-type"
Staphylococcus aureus;86347;SXT_25;25;27;31;32;
Staphylococcus aureus;86347;TE_30;13;12;12;10;";TET efflux (Gram+)"
Staphylococcus aureus;86347;TEC_30;16;16;16;16;
Staphylococcus aureus;86347;TEM_30;;;;;";PBP2a"
Staphylococcus aureus;86347;TGC_15;16;20;22;21;";TET efflux (Gram+)"
Staphylococcus aureus;86347;TOB_10;19;21;22;23;";AG wild-type"
Staphylococcus aureus;86347;TZP_36;;;;;";PBP2a"
Escherichia coli;86886;AK_30;19;19;20;20;";AG wild-type"
Escherichia coli;86886;AMC_30;18;18;18;19;";CTX"
Escherichia coli;86886;AMP_10;6;6;6;6;";CTX"
Escherichia coli;86886;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;86886;CN_10;19;19;20;20;";AG wild-type"
Escherichia coli;86886;CPD_10;6;6;6;6;";CTX"
Escherichia coli;86886;CRO_30;10;9;6;6;";CTX"
Escherichia coli;86886;CXM_30;6;6;6;6;";CTX"
Escherichia coli;86886;DA_2;;;;;
Escherichia coli;86886;E_15;;;;;
Escherichia coli;86886;FD_10;;;;;
Escherichia coli;86886;FEP_30;15;14;14;14;";CTX"
Escherichia coli;86886;FOX_30;20;21;22;22;";CTX"
Escherichia coli;86886;K_30;19;19;20;20;";AG wild-type"
Escherichia coli;86886;LEV_5;10;10;9;9;";QL high level resistance"
Escherichia coli;86886;LZD_10;;;;;
Escherichia coli;86886;MEM_10;27;27;28;28;";CTX"
Escherichia coli;86886;MH_30;20;20;19;19;";Efflux NOT tetB"
Escherichia coli;86886;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;86886;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;86886;P_1;;;;;";CTX"
Escherichia coli;86886;RD_5;;;;;
Escherichia coli;86886;SXT_25;26;26;26;26;
Escherichia coli;86886;TE_30;9;9;6;6;";Efflux NOT tetB"
Escherichia coli;86886;TEC_30;;;;;
Escherichia coli;86886;TEM_30;19;19;16;15;";CTX"
Escherichia coli;86886;TGC_15;20;20;20;20;";Efflux NOT tetB"
Escherichia coli;86886;TOB_10;18;18;19;19;";AG wild-type"
Escherichia coli;86886;TZP_36;20;20;21;21;";CTX"
Klebsiella pneumoniae;86951;AK_30;20;20;21;21;";AG wild-type"
Klebsiella pneumoniae;86951;AMC_30;19;20;20;21;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;AMP_10;9;9;6;6;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;CIP_5;21;22;22;23;";QL low level resistance"
Klebsiella pneumoniae;86951;CN_10;19;20;20;20;";AG wild-type"
Klebsiella pneumoniae;86951;CPD_10;20;21;21;22;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;CRO_30;24;25;25;26;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;CXM_30;14;14;13;15;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;DA_2;;;;;
Klebsiella pneumoniae;86951;E_15;;;;;
Klebsiella pneumoniae;86951;FD_10;;;;;
Klebsiella pneumoniae;86951;FEP_30;25;26;26;27;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;FOX_30;13;14;15;16;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;K_30;20;21;21;21;";AG wild-type"
Klebsiella pneumoniae;86951;LEV_5;20;21;21;21;";QL low level resistance"
Klebsiella pneumoniae;86951;LZD_10;;;;;
Klebsiella pneumoniae;86951;MEM_10;27;28;28;29;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;MH_30;13;12;12;10;";RND pump"
Klebsiella pneumoniae;86951;NA_30;14;14;12;8;";QL low level resistance"
Klebsiella pneumoniae;86951;NOR_10;19;19;20;20;";QL low level resistance"
Klebsiella pneumoniae;86951;P_1;;;;;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;RD_5;;;;;
Klebsiella pneumoniae;86951;SXT_25;22;21;21;20;
Klebsiella pneumoniae;86951;TE_30;16;17;15;14;";RND pump"
Klebsiella pneumoniae;86951;TEC_30;;;;;
Klebsiella pneumoniae;86951;TEM_30;18;18;19;18;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;86951;TGC_15;14;14;14;14;";RND pump"
Klebsiella pneumoniae;86951;TOB_10;19;19;19;19;";AG wild-type"
Klebsiella pneumoniae;86951;TZP_36;17;18;18;18;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87050;AK_30;17;18;18;17;";AG multiple mechanisms"
Klebsiella pneumoniae;87050;AMC_30;15;15;14;13;";CTX"
Klebsiella pneumoniae;87050;AMP_10;6;6;6;6;";CTX"
Klebsiella pneumoniae;87050;CIP_5;24;25;25;25;";QL wild-type"
Klebsiella pneumoniae;87050;CN_10;6;6;6;6;";AG multiple mechanisms"
Klebsiella pneumoniae;87050;CPD_10;6;6;6;6;";CTX"
Klebsiella pneumoniae;87050;CRO_30;6;6;6;6;";CTX"
Klebsiella pneumoniae;87050;CXM_30;6;6;6;6;";CTX"
Klebsiella pneumoniae;87050;DA_2;;;;;
Klebsiella pneumoniae;87050;E_15;;;;;
Klebsiella pneumoniae;87050;FD_10;;;;;
Klebsiella pneumoniae;87050;FEP_30;15;15;14;14;";CTX"
Klebsiella pneumoniae;87050;FOX_30;21;21;20;20;";CTX"
Klebsiella pneumoniae;87050;K_30;11;11;9;9;";AG multiple mechanisms"
Klebsiella pneumoniae;87050;LEV_5;25;26;26;26;";QL wild-type"
Klebsiella pneumoniae;87050;LZD_10;;;;;
Klebsiella pneumoniae;87050;MEM_10;27;28;28;28;";CTX"
Klebsiella pneumoniae;87050;MH_30;17;16;16;15;";Efflux NOT tetB"
Klebsiella pneumoniae;87050;NA_30;21;22;22;22;";QL wild-type"
Klebsiella pneumoniae;87050;NOR_10;22;22;23;23;";QL wild-type"
Klebsiella pneumoniae;87050;P_1;;;;;";CTX"
Klebsiella pneumoniae;87050;RD_5;;;;;
Klebsiella pneumoniae;87050;SXT_25;13;6;6;6;
Klebsiella pneumoniae;87050;TE_30;6;6;6;6;";Efflux NOT tetB"
Klebsiella pneumoniae;87050;TEC_30;;;;;
Klebsiella pneumoniae;87050;TEM_30;20;21;21;21;";CTX"
Klebsiella pneumoniae;87050;TGC_15;17;18;18;18;";Efflux NOT tetB"
Klebsiella pneumoniae;87050;TOB_10;6;6;6;6;";AG multiple mechanisms"
Klebsiella pneumoniae;87050;TZP_36;16;16;14;14;";CTX"
Escherichia coli;87063;AK_30;17;17;15;15;";AG multiple mechanisms"
Escherichia coli;87063;AMC_30;9;9;9;6;";pAmpC"
Escherichia coli;87063;AMP_10;6;6;6;6;";pAmpC"
Escherichia coli;87063;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;87063;CN_10;9;6;6;6;";AG multiple mechanisms"
Escherichia coli;87063;CPD_10;6;6;6;6;";pAmpC"
Escherichia coli;87063;CRO_30;12;11;10;9;";pAmpC"
Escherichia coli;87063;CXM_30;6;6;6;6;";pAmpC"
Escherichia coli;87063;DA_2;;;;;
Escherichia coli;87063;E_15;;;;;
Escherichia coli;87063;FD_10;;;;;
Escherichia coli;87063;FEP_30;22;23;23;22;";pAmpC"
Escherichia coli;87063;FOX_30;6;6;6;6;";pAmpC"
Escherichia coli;87063;K_30;12;12;7;7;";AG multiple mechanisms"
Escherichia coli;87063;LEV_5;9;6;6;6;";QL high level resistance"
Escherichia coli;87063;LZD_10;;;;;
Escherichia coli;87063;MEM_10;26;27;28;28;";pAmpC"
Escherichia coli;87063;MH_30;16;16;15;14;";tetB / tetM"
Escherichia coli;87063;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;87063;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;87063;P_1;;;;;";pAmpC"
Escherichia coli;87063;RD_5;;;;;
Escherichia coli;87063;SXT_25;6;6;6;6;
Escherichia coli;87063;TE_30;6;6;6;6;";tetB / tetM"
Escherichia coli;87063;TEC_30;;;;;
Escherichia coli;87063;TEM_30;17;17;17;17;";pAmpC"
Escherichia coli;87063;TGC_15;19;20;21;21;";tetB / tetM"
Escherichia coli;87063;TOB_10;10;7;6;6;";AG multiple mechanisms"
Escherichia coli;87063;TZP_36;16;16;12;11;";pAmpC"
Escherichia coli;87158;AK_30;20;21;22;22;";APH-3"
Escherichia coli;87158;AMC_30;10;9;9;6;";pAmpC"
Escherichia coli;87158;AMP_10;6;6;6;6;";pAmpC"
Escherichia coli;87158;CIP_5;24;26;26;25;";QL low level resistance"
Escherichia coli;87158;CN_10;19;20;21;21;";APH-3"
Escherichia coli;87158;CPD_10;6;6;6;6;";pAmpC"
Escherichia coli;87158;CRO_30;21;22;22;22;";pAmpC"
Escherichia coli;87158;CXM_30;13;13;12;12;";pAmpC"
Escherichia coli;87158;DA_2;;;;;
Escherichia coli;87158;E_15;;;;;
Escherichia coli;87158;FD_10;;;;;
Escherichia coli;87158;FEP_30;27;28;28;28;";pAmpC"
Escherichia coli;87158;FOX_30;13;13;13;12;";pAmpC"
Escherichia coli;87158;K_30;6;6;6;6;";APH-3"
Escherichia coli;87158;LEV_5;22;24;25;24;";QL low level resistance"
Escherichia coli;87158;LZD_10;;;;;
Escherichia coli;87158;MEM_10;27;28;29;29;";pAmpC"
Escherichia coli;87158;MH_30;21;22;20;20;";TET wild-type"
Escherichia coli;87158;NA_30;11;11;9;6;";QL low level resistance"
Escherichia coli;87158;NOR_10;22;24;24;23;";QL low level resistance"
Escherichia coli;87158;P_1;;;;;";pAmpC"
Escherichia coli;87158;RD_5;;;;;
Escherichia coli;87158;SXT_25;23;22;20;17;
Escherichia coli;87158;TE_30;23;23;23;23;";TET wild-type"
Escherichia coli;87158;TEC_30;;;;;
Escherichia coli;87158;TEM_30;20;21;21;21;";pAmpC"
Escherichia coli;87158;TGC_15;20;21;21;21;";TET wild-type"
Escherichia coli;87158;TOB_10;18;19;19;20;";APH-3"
Escherichia coli;87158;TZP_36;17;17;17;18;";pAmpC"
Staphylococcus aureus;87524;AK_30;;;;;";ANT-4/APH-3"
Staphylococcus aureus;87524;AMC_30;;;;;";PBP2a"
Staphylococcus aureus;87524;AMP_10;;;;;";PBP2a"
Staphylococcus aureus;87524;CIP_5;6;6;6;6;";QL high level resistance"
Staphylococcus aureus;87524;CN_10;19;21;21;22;";ANT-4/APH-3"
Staphylococcus aureus;87524;CPD_10;;;;;";PBP2a"
Staphylococcus aureus;87524;CRO_30;;;;;";PBP2a"
Staphylococcus aureus;87524;CXM_30;;;;;";PBP2a"
Staphylococcus aureus;87524;DA_2;22;30;28;29;
Staphylococcus aureus;87524;E_15;;14;11;9;
Staphylococcus aureus;87524;FD_10;23;30;31;31;";FA wild-type"
Staphylococcus aureus;87524;FEP_30;;;;;";PBP2a"
Staphylococcus aureus;87524;FOX_30;11;12;11;6;";PBP2a"
Staphylococcus aureus;87524;K_30;;11;6;6;";ANT-4/APH-3"
Staphylococcus aureus;87524;LEV_5;;12;11;10;";QL high level resistance"
Staphylococcus aureus;87524;LZD_10;24;28;26;25;";OXD wild-type"
Staphylococcus aureus;87524;MEM_10;;;;;";PBP2a"
Staphylococcus aureus;87524;MH_30;22;28;28;28;";TET wild-type"
Staphylococcus aureus;87524;NA_30;;;;;";QL high level resistance"
Staphylococcus aureus;87524;NOR_10;6;7;6;6;";QL high level resistance"
Staphylococcus aureus;87524;P_1;;9;6;6;";PBP2a"
Staphylococcus aureus;87524;RD_5;25;29;31;32;";RIF wild-type"
Staphylococcus aureus;87524;SXT_25;20;28;32;33;
Staphylococcus aureus;87524;TE_30;22;28;28;29;";TET wild-type"
Staphylococcus aureus;87524;TEC_30;17;17;17;17;
Staphylococcus aureus;87524;TEM_30;;;;;";PBP2a"
Staphylococcus aureus;87524;TGC_15;16;23;22;22;";TET wild-type"
Staphylococcus aureus;87524;TOB_10;6;6;6;6;";ANT-4/APH-3"
Staphylococcus aureus;87524;TZP_36;;;;;";PBP2a"
Klebsiella pneumoniae;87592;AK_30;20;20;21;21;";AG wild-type"
Klebsiella pneumoniae;87592;AMC_30;17;18;18;18;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;AMP_10;6;6;6;6;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;CIP_5;22;22;23;23;";QL low level resistance"
Klebsiella pneumoniae;87592;CN_10;19;19;20;20;";AG wild-type"
Klebsiella pneumoniae;87592;CPD_10;19;20;20;20;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;CRO_30;24;24;25;25;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;CXM_30;13;13;13;13;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;DA_2;;;;;
Klebsiella pneumoniae;87592;E_15;;;;;
Klebsiella pneumoniae;87592;FD_10;;;;;
Klebsiella pneumoniae;87592;FEP_30;25;26;26;26;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;FOX_30;12;12;13;13;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;K_30;20;21;21;21;";AG wild-type"
Klebsiella pneumoniae;87592;LEV_5;20;20;21;21;";QL low level resistance"
Klebsiella pneumoniae;87592;LZD_10;;;;;
Klebsiella pneumoniae;87592;MEM_10;27;28;28;29;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;MH_30;13;12;10;6;";RND pump"
Klebsiella pneumoniae;87592;NA_30;14;14;10;10;";QL low level resistance"
Klebsiella pneumoniae;87592;NOR_10;18;19;19;19;";QL low level resistance"
Klebsiella pneumoniae;87592;P_1;;;;;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;RD_5;;;;;
Klebsiella pneumoniae;87592;SXT_25;22;22;22;21;
Klebsiella pneumoniae;87592;TE_30;17;17;16;12;";RND pump"
Klebsiella pneumoniae;87592;TEC_30;;;;;
Klebsiella pneumoniae;87592;TEM_30;17;18;18;18;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87592;TGC_15;13;13;14;14;";RND pump"
Klebsiella pneumoniae;87592;TOB_10;19;19;20;20;";AG wild-type"
Klebsiella pneumoniae;87592;TZP_36;16;17;17;17;";BSBL or other beta-lactamase"
Escherichia coli;87764;AK_30;17;18;18;18;";AG multiple mechanisms"
Escherichia coli;87764;AMC_30;15;15;14;14;";BSBL or other beta-lactamase"
Escherichia coli;87764;AMP_10;6;6;6;6;";BSBL or other beta-lactamase"
Escherichia coli;87764;CIP_5;6;6;6;6;";QL high level resistance"
Escherichia coli;87764;CN_10;10;9;6;6;";AG multiple mechanisms"
Escherichia coli;87764;CPD_10;19;20;19;19;";BSBL or other beta-lactamase"
Escherichia coli;87764;CRO_30;26;27;27;27;";BSBL or other beta-lactamase"
Escherichia coli;87764;CXM_30;16;16;16;16;";BSBL or other beta-lactamase"
Escherichia coli;87764;DA_2;;;;;
Escherichia coli;87764;E_15;;;;;
Escherichia coli;87764;FD_10;;;;;
Escherichia coli;87764;FEP_30;26;27;27;27;";BSBL or other beta-lactamase"
Escherichia coli;87764;FOX_30;16;16;16;16;";BSBL or other beta-lactamase"
Escherichia coli;87764;K_30;13;13;11;10;";AG multiple mechanisms"
Escherichia coli;87764;LEV_5;7;6;6;6;";QL high level resistance"
Escherichia coli;87764;LZD_10;;;;;
Escherichia coli;87764;MEM_10;29;29;30;30;";BSBL or other beta-lactamase"
Escherichia coli;87764;MH_30;15;14;13;13;";tetB / tetM"
Escherichia coli;87764;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;87764;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;87764;P_1;;;;;";BSBL or other beta-lactamase"
Escherichia coli;87764;RD_5;;;;;
Escherichia coli;87764;SXT_25;6;6;6;6;
Escherichia coli;87764;TE_30;6;6;6;6;";tetB / tetM"
Escherichia coli;87764;TEC_30;;;;;
Escherichia coli;87764;TEM_30;17;17;16;14;";BSBL or other beta-lactamase"
Escherichia coli;87764;TGC_15;20;21;21;21;";tetB / tetM"
Escherichia coli;87764;TOB_10;12;11;10;9;";AG multiple mechanisms"
Escherichia coli;87764;TZP_36;18;18;18;18;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87778;AK_30;21;22;23;23;";APH-3"
Klebsiella pneumoniae;87778;AMC_30;18;19;19;19;";BL wild-type"
Klebsiella pneumoniae;87778;AMP_10;6;6;6;6;";BL wild-type"
Klebsiella pneumoniae;87778;CIP_5;20;22;23;24;";QL low level resistance"
Klebsiella pneumoniae;87778;CN_10;20;21;21;22;";APH-3"
Klebsiella pneumoniae;87778;CPD_10;25;27;28;28;";BL wild-type"
Klebsiella pneumoniae;87778;CRO_30;27;30;31;31;";BL wild-type"
Klebsiella pneumoniae;87778;CXM_30;21;23;23;24;";BL wild-type"
Klebsiella pneumoniae;87778;DA_2;;;;;
Klebsiella pneumoniae;87778;E_15;;;;;
Klebsiella pneumoniae;87778;FD_10;;;;;
Klebsiella pneumoniae;87778;FEP_30;28;31;32;32;";BL wild-type"
Klebsiella pneumoniae;87778;FOX_30;21;23;26;26;";BL wild-type"
Klebsiella pneumoniae;87778;K_30;10;9;6;6;";APH-3"
Klebsiella pneumoniae;87778;LEV_5;21;22;23;23;";QL low level resistance"
Klebsiella pneumoniae;87778;LZD_10;;;;;
Klebsiella pneumoniae;87778;MEM_10;27;30;31;32;";BL wild-type"
Klebsiella pneumoniae;87778;MH_30;12;12;11;10;";tetB / tetM"
Klebsiella pneumoniae;87778;NA_30;7;6;6;6;";QL low level resistance"
Klebsiella pneumoniae;87778;NOR_10;19;20;21;22;";QL low level resistance"
Klebsiella pneumoniae;87778;P_1;;;;;";BL wild-type"
Klebsiella pneumoniae;87778;RD_5;;;;;
Klebsiella pneumoniae;87778;SXT_25;13;6;6;6;
Klebsiella pneumoniae;87778;TE_30;6;6;6;6;";tetB / tetM"
Klebsiella pneumoniae;87778;TEC_30;;;;;
Klebsiella pneumoniae;87778;TEM_30;22;25;26;26;";BL wild-type"
Klebsiella pneumoniae;87778;TGC_15;18;20;20;20;";tetB / tetM"
Klebsiella pneumoniae;87778;TOB_10;20;21;21;22;";APH-3"
Klebsiella pneumoniae;87778;TZP_36;18;19;19;19;";BL wild-type"
Klebsiella pneumoniae;87967;AK_30;20;21;22;22;";AG wild-type"
Klebsiella pneumoniae;87967;AMC_30;18;18;16;14;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;AMP_10;6;6;6;6;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;CIP_5;20;21;23;24;";QL low level resistance"
Klebsiella pneumoniae;87967;CN_10;20;21;21;21;";AG wild-type"
Klebsiella pneumoniae;87967;CPD_10;25;26;27;27;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;CRO_30;27;29;30;31;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;CXM_30;21;22;23;23;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;DA_2;;;;;
Klebsiella pneumoniae;87967;E_15;;;;;
Klebsiella pneumoniae;87967;FD_10;;;;;
Klebsiella pneumoniae;87967;FEP_30;29;30;31;31;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;FOX_30;21;23;15;15;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;K_30;21;21;22;22;";AG wild-type"
Klebsiella pneumoniae;87967;LEV_5;20;21;22;23;";QL low level resistance"
Klebsiella pneumoniae;87967;LZD_10;;;;;
Klebsiella pneumoniae;87967;MEM_10;28;29;30;31;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;MH_30;12;11;10;10;";tetB / tetM"
Klebsiella pneumoniae;87967;NA_30;6;6;6;6;";QL low level resistance"
Klebsiella pneumoniae;87967;NOR_10;18;19;21;22;";QL low level resistance"
Klebsiella pneumoniae;87967;P_1;;;;;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;RD_5;;;;;
Klebsiella pneumoniae;87967;SXT_25;25;26;24;23;
Klebsiella pneumoniae;87967;TE_30;6;6;6;6;";tetB / tetM"
Klebsiella pneumoniae;87967;TEC_30;;;;;
Klebsiella pneumoniae;87967;TEM_30;23;24;25;25;";BSBL or other beta-lactamase"
Klebsiella pneumoniae;87967;TGC_15;18;19;19;20;";tetB / tetM"
Klebsiella pneumoniae;87967;TOB_10;20;20;21;21;";AG wild-type"
Klebsiella pneumoniae;87967;TZP_36;18;18;18;19;";BSBL or other beta-lactamase"
Escherichia coli;88669;AK_30;20;21;21;22;";AG wild-type"
Escherichia coli;88669;AMC_30;15;15;16;16;";SHV"
Escherichia coli;88669;AMP_10;7;6;6;6;";SHV"
Escherichia coli;88669;CIP_5;7;6;6;6;";QL high level resistance"
Escherichia coli;88669;CN_10;19;19;20;20;";AG wild-type"
Escherichia coli;88669;CPD_10;13;12;11;11;";SHV"
Escherichia coli;88669;CRO_30;20;20;19;19;";SHV"
Escherichia coli;88669;CXM_30;16;16;16;16;";SHV"
Escherichia coli;88669;DA_2;;;;;
Escherichia coli;88669;E_15;;;;;
Escherichia coli;88669;FD_10;;;;;
Escherichia coli;88669;FEP_30;23;24;24;25;";SHV"
Escherichia coli;88669;FOX_30;18;20;21;21;";SHV"
Escherichia coli;88669;K_30;20;20;20;21;";AG wild-type"
Escherichia coli;88669;LEV_5;6;6;6;6;";QL high level resistance"
Escherichia coli;88669;LZD_10;;;;;
Escherichia coli;88669;MEM_10;28;29;29;30;";SHV"
Escherichia coli;88669;MH_30;12;11;10;9;";tetB / tetM"
Escherichia coli;88669;NA_30;6;6;6;6;";QL high level resistance"
Escherichia coli;88669;NOR_10;6;6;6;6;";QL high level resistance"
Escherichia coli;88669;P_1;;;;;";SHV"
Escherichia coli;88669;RD_5;;;;;
Escherichia coli;88669;SXT_25;6;6;6;6;
Escherichia coli;88669;TE_30;6;6;6;6;";tetB / tetM"
Escherichia coli;88669;TEC_30;;;;;
Escherichia coli;88669;TEM_30;18;19;19;20;";SHV"
Escherichia coli;88669;TGC_15;19;19;20;20;";tetB / tetM"
Escherichia coli;88669;TOB_10;19;19;19;19;";AG wild-type"
Escherichia coli;88669;TZP_36;19;20;20;20;";SHV"
Enterobacter cloacae;88688;AK_30;18;18;18;18;";AG multiple mechanisms"
Enterobacter cloacae;88688;AMC_30;9;6;6;6;";cAmpC hyper"
Enterobacter cloacae;88688;AMP_10;7;6;6;6;";cAmpC hyper"
Enterobacter cloacae;88688;CIP_5;6;6;6;6;";QL high level resistance"
Enterobacter cloacae;88688;CN_10;14;14;14;14;";AG multiple mechanisms"
Enterobacter cloacae;88688;CPD_10;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;88688;CRO_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;88688;CXM_30;7;6;6;6;";cAmpC hyper"
Enterobacter cloacae;88688;DA_2;;;;;
Enterobacter cloacae;88688;E_15;;;;;
Enterobacter cloacae;88688;FD_10;;;;;
Enterobacter cloacae;88688;FEP_30;17;17;18;17;";cAmpC hyper"
Enterobacter cloacae;88688;FOX_30;7;6;6;6;";cAmpC hyper"
Enterobacter cloacae;88688;K_30;10;10;9;9;";AG multiple mechanisms"
Enterobacter cloacae;88688;LEV_5;9;6;6;6;";QL high level resistance"
Enterobacter cloacae;88688;LZD_10;;;;;
Enterobacter cloacae;88688;MEM_10;22;23;20;19;";cAmpC hyper"
Enterobacter cloacae;88688;MH_30;13;12;12;11;";RND pump"
Enterobacter cloacae;88688;NA_30;6;6;6;6;";QL high level resistance"
Enterobacter cloacae;88688;NOR_10;6;6;6;6;";QL high level resistance"
Enterobacter cloacae;88688;P_1;;;;;";cAmpC hyper"
Enterobacter cloacae;88688;RD_5;;;;;
Enterobacter cloacae;88688;SXT_25;6;6;6;6;
Enterobacter cloacae;88688;TE_30;6;6;6;6;";RND pump"
Enterobacter cloacae;88688;TEC_30;;;;;
Enterobacter cloacae;88688;TEM_30;13;14;14;13;";cAmpC hyper"
Enterobacter cloacae;88688;TGC_15;16;16;16;16;";RND pump"
Enterobacter cloacae;88688;TOB_10;12;11;11;11;";AG multiple mechanisms"
Enterobacter cloacae;88688;TZP_36;9;6;6;6;";cAmpC hyper"
Escherichia coli;88829;AK_30;17;17;17;17;";AG multiple mechanisms"
Escherichia coli;88829;AMC_30;20;21;21;21;";SHV"
Escherichia coli;88829;AMP_10;6;6;6;6;";SHV"
Escherichia coli;88829;CIP_5;22;24;24;25;";QL low level resistance"
Escherichia coli;88829;CN_10;6;6;6;6;";AG multiple mechanisms"
Escherichia coli;88829;CPD_10;10;9;9;9;";SHV"
Escherichia coli;88829;CRO_30;16;16;16;16;";SHV"
Escherichia coli;88829;CXM_30;6;6;6;6;";SHV"
Escherichia coli;88829;DA_2;;;;;
Escherichia coli;88829;E_15;;;;;
Escherichia coli;88829;FD_10;;;;;
Escherichia coli;88829;FEP_30;23;23;24;24;";SHV"
Escherichia coli;88829;FOX_30;23;25;25;25;";SHV"
Escherichia coli;88829;K_30;6;6;6;6;";AG multiple mechanisms"
Escherichia coli;88829;LEV_5;22;23;23;23;";QL low level resistance"
Escherichia coli;88829;LZD_10;;;;;
Escherichia coli;88829;MEM_10;29;30;30;30;";SHV"
Escherichia coli;88829;MH_30;20;19;19;19;";Efflux NOT tetB"
Escherichia coli;88829;NA_30;20;20;20;16;";QL low level resistance"
Escherichia coli;88829;NOR_10;22;22;23;23;";QL low level resistance"
Escherichia coli;88829;P_1;;;;;";SHV"
Escherichia coli;88829;RD_5;;;;;
Escherichia coli;88829;SXT_25;6;6;6;6;
Escherichia coli;88829;TE_30;14;13;9;7;";Efflux NOT tetB"
Escherichia coli;88829;TEC_30;;;;;
Escherichia coli;88829;TEM_30;22;23;21;21;";SHV"
Escherichia coli;88829;TGC_15;19;19;19;19;";Efflux NOT tetB"
Escherichia coli;88829;TOB_10;6;6;6;6;";AG multiple mechanisms"
Escherichia coli;88829;TZP_36;21;22;22;22;";SHV"
Staphylococcus aureus;100017;AK_30;;;;;";AG wild-type"
Staphylococcus aureus;100017;AMC_30;;;;;";PBP2a"
Staphylococcus aureus;100017;AMP_10;;;;;";PBP2a"
